year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,559,600,-1,854,902,-8,UA,1187,N76515,EWR,LAS,337,2227,6,0,2013-01-01T11:00:00Z
2013,1,1,601,600,1,844,850,-6,B6,343,N644JB,EWR,PBI,147,1023,6,0,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,824,833,-9,US,1019,N426US,EWR,CLT,91,529,6,30,2013-01-01T11:00:00Z
2013,1,1,658,700,-2,1027,1025,2,VX,399,N627VA,JFK,LAX,361,2475,7,0,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,1008,1015,-7,AA,2279,N3EKAA,LGA,MIA,159,1096,7,0,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,1008,1007,1,B6,981,N646JB,JFK,FLL,156,1069,7,0,2013-01-01T12:00:00Z
2013,1,1,717,720,-3,850,840,10,FL,850,N978AT,LGA,MKE,134,738,7,20,2013-01-01T12:00:00Z
2013,1,1,734,737,-3,1047,1113,-26,B6,643,N625JB,JFK,SFO,350,2586,7,37,2013-01-01T12:00:00Z
2013,1,1,739,739,0,1104,1038,26,UA,1479,N37408,EWR,IAH,249,1400,7,39,2013-01-01T12:00:00Z
2013,1,1,753,755,-2,1056,1110,-14,AA,2267,N3HMAA,LGA,MIA,157,1096,7,55,2013-01-01T12:00:00Z
2013,1,1,758,800,-2,1053,1054,-1,B6,517,N645JB,EWR,MCO,142,937,8,0,2013-01-01T13:00:00Z
2013,1,1,830,830,0,1018,1015,3,AA,313,N4YCAA,LGA,ORD,137,733,8,30,2013-01-01T13:00:00Z
2013,1,1,835,835,0,1210,1150,20,AA,717,N3BDAA,LGA,DFW,249,1389,8,35,2013-01-01T13:00:00Z
2013,1,1,853,845,8,1147,1145,2,B6,59,N184JB,JFK,TPA,159,1005,8,45,2013-01-01T13:00:00Z
2013,1,1,906,843,23,1134,1125,9,UA,1643,N17139,EWR,DEN,246,1605,8,43,2013-01-01T13:00:00Z
2013,1,1,914,920,-6,1244,1240,4,AA,1589,N517AA,EWR,DFW,238,1372,9,20,2013-01-01T14:00:00Z
2013,1,1,926,922,4,1221,1219,2,B6,57,N534JB,JFK,PBI,151,1028,9,22,2013-01-01T14:00:00Z
2013,1,1,926,928,-2,1233,1220,13,UA,1597,N27733,EWR,EGE,287,1726,9,28,2013-01-01T14:00:00Z
2013,1,1,932,930,2,1219,1225,-6,VX,251,N641VA,JFK,LAS,324,2248,9,30,2013-01-01T14:00:00Z
2013,1,1,933,937,-4,1057,1102,-5,B6,4,N503JB,JFK,BUF,66,301,9,37,2013-01-01T14:00:00Z
2013,1,1,956,1000,-4,1241,1241,0,DL,1847,N956DL,LGA,ATL,129,762,10,0,2013-01-01T15:00:00Z
2013,1,1,1025,951,34,1258,1302,-4,UA,501,N437UA,EWR,MCO,137,937,9,51,2013-01-01T14:00:00Z
2013,1,1,1044,1041,3,1339,1350,-11,UA,1060,N76503,EWR,RSW,157,1068,10,41,2013-01-01T15:00:00Z
2013,1,1,1059,1100,-1,1201,1215,-14,WN,321,N505SW,LGA,BWI,43,185,11,0,2013-01-01T16:00:00Z
2013,1,1,1101,1043,18,1345,1332,13,B6,545,N630JB,EWR,PBI,145,1023,10,43,2013-01-01T15:00:00Z
