year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,517,515,2,830,819,11,UA,1545,N14228,EWR,IAH,227,1400,5,15,2013-01-01T10:00:00Z
2013,1,1,555,600,-5,913,854,19,B6,507,N516JB,EWR,FLL,158,1065,6,0,2013-01-01T11:00:00Z
2013,1,1,559,600,-1,941,910,31,AA,707,N3DUAA,LGA,DFW,257,1389,6,0,2013-01-01T11:00:00Z
2013,1,1,559,559,0,702,706,-4,B6,1806,N708JB,JFK,BOS,44,187,5,59,2013-01-01T10:00:00Z
2013,1,1,607,607,0,858,915,-17,UA,1077,N53442,EWR,MIA,157,1085,6,7,2013-01-01T11:00:00Z
2013,1,1,611,600,11,945,931,14,UA,303,N532UA,JFK,SFO,366,2586,6,0,2013-01-01T11:00:00Z
2013,1,1,632,608,24,740,728,12,EV,4144,N13553,EWR,IAD,52,212,6,8,2013-01-01T11:00:00Z
2013,1,1,646,645,1,910,916,-6,UA,883,N569UA,LGA,DEN,243,1620,6,45,2013-01-01T11:00:00Z
2013,1,1,656,659,-3,949,959,-10,AA,1815,N5FMAA,JFK,MCO,142,944,6,59,2013-01-01T11:00:00Z
2013,1,1,723,725,-2,1013,1017,-4,UA,962,N514UA,EWR,PBI,153,1023,7,25,2013-01-01T12:00:00Z
2013,1,1,724,730,-6,1111,1040,31,AA,715,N541AA,LGA,DFW,254,1389,7,30,2013-01-01T12:00:00Z
2013,1,1,732,735,-3,857,858,-1,B6,20,N304JB,JFK,ROC,64,264,7,35,2013-01-01T12:00:00Z
2013,1,1,741,745,-4,1038,1036,2,B6,983,N633JB,LGA,TPA,158,1010,7,45,2013-01-01T12:00:00Z
2013,1,1,743,730,13,1059,1056,3,DL,495,N3760C,JFK,SEA,349,2422,7,30,2013-01-01T12:00:00Z
2013,1,1,754,759,-5,1039,1041,-2,DL,2047,N935DL,LGA,ATL,126,762,7,59,2013-01-01T12:00:00Z
2013,1,1,759,800,-1,1057,1127,-30,DL,1843,N955DL,JFK,MIA,158,1089,8,0,2013-01-01T13:00:00Z
2013,1,1,810,815,-5,1100,1128,-28,DL,2395,N349NW,LGA,PBI,149,1035,8,15,2013-01-01T13:00:00Z
2013,1,1,817,810,7,1005,948,17,B6,1051,N228JB,JFK,PIT,86,340,8,10,2013-01-01T13:00:00Z
2013,1,1,821,820,1,1153,1129,24,B6,181,N521JB,JFK,SAN,354,2446,8,20,2013-01-01T13:00:00Z
2013,1,1,839,850,-11,1027,1035,-8,MQ,4558,N711MQ,LGA,CLE,88,419,8,50,2013-01-01T13:00:00Z
2013,1,1,913,918,-5,1346,1416,-30,UA,1519,N24715,EWR,STT,189,1634,9,18,2013-01-01T14:00:00Z
